DATE,ORIGIN_TO_ADDRESS,ORIGIN_TO_LABELED,NUM_ATTESTATIONS,NUM_UNIQUE_ATTESTATION_ADDRESSES,NUM_DUPLICATE_ATTESTATIONS
1/28/2023,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,82,76,6
1/15/2023,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,10,9,1
1/19/2023,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,2,1,1
1/25/2023,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,17,16,1
12/30/2022,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,12,10,2
12/15/2022,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,5,5,0
1/22/2023,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,3,3,0
12/20/2022,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,3,1,2
1/10/2023,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,1,1,0
1/23/2023,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,9,7,2
1/16/2023,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,15,15,0
1/12/2023,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,3,3,0
1/9/2023,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,1,1,0
12/29/2022,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,14,14,0
12/18/2022,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,8,8,0
1/24/2023,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,12,4,8
1/20/2023,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,4,4,0
12/28/2022,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,2,2,0
1/1/2023,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,3,3,0
1/13/2023,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,4,4,0
12/27/2022,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,1,1,0
1/21/2023,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,7,7,0
1/26/2023,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,31,30,1
12/17/2022,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,7,7,0
1/29/2023,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,35,30,5
1/17/2023,0xee36eaad94d1cc1d0eccadb55c38bffb6be06c77,Other,3,3,0
